"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"fucose",-0.746773950936906,-0.900390203002819,0.731520958584881,-0.533143580169356,0.875746167227037,-0.0410950009998321,1.7796227865732,0.901073985860193,0.460286822604961,-0.0410950009998321,-1.85997158668877,-0.625781398052759
"ethanolamine",0.250715685676542,0.648528305851023,0.584734380763903,-0.534553161293428,0.995633311611854,1.8866134218321,-0.508558487424735,-0.11085556759433,-0.448815465044125,-1.03289673109595,-1.9380425189154,0.207496825632539
"erythritol",0.363774288232034,-0.221369680520247,-0.625714147245131,-0.299541016567145,0.907487368882066,1.47551770109842,1.9283218153444,-0.757727741170852,-1.10410321226128,-0.495411380768024,-1.2541181859255,0.0828841909012494
"dodecanol",0.614757620424838,0.260828735820659,-0.354367519520566,-0.307415095752409,1.44835099968776,-0.215006143638601,-1.66719054546664,0.461005036917525,1.13607613642911,-0.514646110114164,-1.70997962950193,0.847586514714409
"docosahexaenoic acid",-0.255424689077573,1.39078131629558,0.193096508745443,-0.83394993138126,0.0411352049802378,-2.16065019807661,-0.302413760634142,1.3815396083558,-0.617450832043253,0.891947148761196,-0.302413760634142,0.573803384708741
"digitoxose",-0.0755575715187804,-0.0657145593989592,-0.059183749575184,-1.95269203089819,0.956544432704034,-0.0461961571510704,-1.15155863679052,1.61404420718353,0.970917745989369,-0.42059538301633,-0.652824634178739,0.882816336650842
"cystine",0.189020643530967,-0.0309491978780609,-0.80719548494034,-0.0417702590059841,-0.190172088228303,-0.18417991677424,-0.950712971634505,1.33749226476214,0.498038764569983,2.0722475394679,-1.72547140338319,-0.16634789048637
"creatinine",-0.15225092023946,-0.199670917038987,0.386903391636482,0.299984330854514,-0.235837706564147,-0.017941921407988,0.663543093285422,1.23352786098734,0.051647172626257,1.50917290315085,-2.03091986652175,-1.50815742076854
"conduritol-beta-epoxide",-0.350536871566511,-0.311818279725871,0.197809559110174,-0.188674795527458,3.05940049243974,-0.735954851051741,-0.141373950069885,0.13075702045365,-0.31946428098447,-0.237884540321957,-0.565041379937399,-0.537218122818273
"citrulline",0.553429049864227,0.516331239482411,2.00273028846153,0.0755158126991214,-0.227454900793997,-0.0284825555934125,-1.95057906425832,0.67764699727867,-0.709881245651795,0.570678112348971,-0.449046649519863,-1.03088708431755
"citric acid",-0.0521739312821713,0.523942080442103,1.40746989117472,0.261435873615298,0.81576373302404,0.932879705777472,-0.116450888107094,-0.440910210406158,0.294932197271937,-0.551919116288148,-2.48891170420401,-0.586057631018006
"citramalic acid",0.265400549161071,0.0594051276755969,-0.253101355657663,-0.607030295694947,-0.32520942140189,0.78888053849198,1.17608055551774,-1.41725299986264,-1.46193494816911,-0.69768950007455,1.82490619294299,0.647545557071416
"cis-gondoic acid",-0.188739604264455,-0.0900306560904394,0.637942196982384,-0.768429656158874,0.926604199292474,0.195193114240868,-1.1746183443523,0.552395098126599,1.56667063050142,0.68018693844994,-2.09835872391828,-0.238815192809341
"cholesterol",0.370039763001862,1.41294055991679,-0.139475383621995,-0.0757325270621986,0.0191683657216796,-0.337014686519876,-1.1776278587091,2.08885255673396,-0.743873786546581,0.445444609166259,-1.42673290602621,-0.435988706054502
"cellobiose",1.65301600564975,-0.980471220708302,-0.309403531292649,0.989842664432323,-0.90815994112774,1.68042143998594,0.0888496793823019,-0.448903706562336,-1.00162925658228,0.597562771635584,-0.473146457290797,-0.887978447521779
