"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"digitoxose",9.02790599656988,9.03617361255349,9.04165915163721,7.45121111183233,9.89481776330794,9.05256805080415,8.12412131182919,10.4470832262097,9.90689059560852,8.73809225962049,8.54303182025524,9.83289001416474
"cystine",8.31288295528435,8.09803208296053,7.33985000288462,8.08746284125034,7.94251450533924,7.94836723158468,7.19967234483636,9.43462822763673,8.61470984411521,10.1522848423066,6.44294349584873,7.96578428466209
"creatinine",10.2155329997457,10.1724275086455,10.7056323873614,10.6266216523584,10.1395513523988,10.3376219019925,10.9571020415623,11.4752267777423,10.4008794362822,11.7257922714942,8.5077946401987,8.98299357469431
"conduritol-beta-epoxide",7.27612440527424,7.32192809488736,7.92481250360578,7.467605550083,11.3100446796475,6.82017896241519,7.52356195605701,7.84549005094437,7.31288295528436,7.4093909361377,7.02236781302845,7.05528243550119
"citrulline",10.0265234425198,10.0028150156071,10.9527412471865,9.72109918870719,9.5274770060604,9.65463602852797,8.4262647547021,10.1059085085712,9.21916852046216,10.0375469539622,9.38586240064146,9.01402047031493
"citric acid",13.3527331494979,13.6667787788304,14.1483971364314,13.523684462323,13.8258531886244,13.8896940793821,13.3176952457652,13.140829770773,13.5419435869247,13.0803178929571,12.0244471240406,13.0617087046606
"citramalic acid",8.28540221886225,8.09803208296053,7.81378119121704,7.49185309632967,7.74819284958946,8.76155123244448,9.11374216604919,6.75488750216347,6.71424551766612,7.4093909361377,9.70390357344466,8.63299519714296
"cis-gondoic acid",6.68650052718322,6.71424551766612,6.91886323727459,6.52356195605701,7,6.79441586635011,6.4093909361377,6.89481776330794,7.17990909001493,6.93073733756289,6.14974711950468,6.6724253419715
"cholesterol",16.4203056724682,16.6611517921225,16.3026389237876,16.3173596141001,16.3392758997587,16.2570194605338,16.0628893752457,16.8172460075482,16.1630599623942,16.4377195671124,16.0053613877228,16.2341625324137
"cellobiose",9.47775826644389,7.54689445988764,8.0389189892923,8.9915218460757,7.59991284218713,9.49785183695112,8.33091687811462,7.93663793900257,7.53138146051631,8.70390357344466,7.91886323727459,7.61470984411521
"capric acid",9.18239435340453,8.83289001416474,8.59245703726808,9.28771237954945,9.1006623390052,9.94251450533924,8.92481250360578,8.98584193700334,8.49984588708321,8.95710204156229,9.68123841177781,8.21431912080077
"beta-alanine",8.82972273508606,9.12153351734003,8.05528243550119,8.40514146313634,9.50382573799575,10.0223678130285,7.83920378809694,9.03066713624694,8.07681559705083,8.76818432477693,7.01122725542325,8.22881869049588
"benzylalcohol",12.2288186904959,11.693922488081,12.0042204663182,10.7099453802325,12.8564255286255,13.0500186685523,10.6247954558602,10.5372184005386,11.6124077931387,11.0768155970508,11.1686721181322,10.9794251953315
"behenic acid",8.4178525148859,9.2045711442492,9.5372184005386,8.88264304936184,9.02790599656988,8.99717948093762,8.75488750216347,9.77807712953536,9.18982455888002,7.97727992349992,9.28540221886225,10.0140204703149
"aspartic acid",12.1786648510065,12.1560830762887,12.1195896207411,11.7821791938312,11.6803595235137,12.8135808029896,10.4189067312579,10.8970891283128,10.5107641679179,11.7219536128014,11.2697111211428,9.25502856981873
